plugin	formid	editorid	name	group	action	tier	target	coat	saddled	mount	note
ElsweyrAnequina.esp	010585	ANQCreatureRagasha1	Ragasha	anequinaragasha	swap	near	FalmerRace				
ElsweyrAnequina.esp	010586	ANQCreatureRagasha1Archer	Ragasha	anequinaragasha	swap	near	FalmerRace				
ElsweyrAnequina.esp	010587	ANQCreatureRagasha2Skirmisher	Ragasha Skirmisher	anequinaragasha	swap	near	FalmerRace				
ElsweyrAnequina.esp	010588	ANQCreatureRagasha2SkirmisherArcher	Ragasha Skirmisher	anequinaragasha	swap	near	FalmerRace				
ElsweyrAnequina.esp	010589	ANQCreatureRagasha3Berserker	Ragasha Berserker	anequinaragasha	swap	near	FalmerRace				
ElsweyrAnequina.esp	01058A	ANQCreatureRagasha3BerserkerArcher	Ragasha Berserker	anequinaragasha	swap	near	FalmerRace				
ElsweyrAnequina.esp	0017B7	ANQCreatureRagasha4Shaman	Ragasha Shaman	anequinaragasha	swap	near	FalmerRace				
ElsweyrAnequina.esp	0017B9	ANQCreatureRagasha5Warlord	Ragasha Warlord	anequinaragasha	swap	near	FalmerRace				
ElsweyrAnequina.esp	01058E	ANQCreatureRagasha5WarlordArcher	Ragasha Warlord	anequinaragasha	swap	near	FalmerRace				
ElsweyrAnequina.esp	0017BA	ANQCreatureRagasha6Seer	Ragasha Seer	anequinaragasha	swap	near	FalmerRace				
ElsweyrAnequina.esp	03DAE6	ANQORCCreatureHouseRagashaShaman	Ragasha Shaman	anequinaragasha	swap	near	FalmerRace				
ElsweyrAnequina.esp	03DAE5	ANQORCCreatureHouseRagashaSkirmisher01	Ragasha	anequinaragasha	swap	near	FalmerRace				
ElsweyrAnequina.esp	018DCC	ANQORCCreatureHouseRagashaSkirmisher02	Ragasha	anequinaragasha	swap	near	FalmerRace				
ElsweyrAnequina.esp	010D2E	ANQORCCreatureTownRagashaShaman	Desert Goblin	anequinaragasha	swap	near	FalmerRace				
ElsweyrAnequina.esp	010D2B	ANQORCCreatureTownRagashaSkirmisher	Desert Goblin	anequinaragasha	swap	near	FalmerRace				
ElsweyrAnequina.esp	05AF10	ANQCreatureSpiderDesert01	Giant Desert Spider	anequinaspider	swap	exact	FrostbiteSpiderRace				
ElsweyrAnequina.esp	037087	ANQCreatureSpiderDesert02	Giant Desert Spider	anequinaspider	swap	exact	FrostbiteSpiderRace				
