SOURCE_FORMID	PATCH_FORMID	EDITORID	NAME	SEX	HAIR	HL
020010FB	040010FB	ANQBanditMeleeF3AOrc	Bandit	F	0Leona	0LeonaHL
020010FC	040010FC	ANQBanditMeleeF3BRedguard	Bandit	F	0Koala	0KoalaHL
020010FE	040010FE	ANQBanditMeleeF4BImperial	Bandit	F	0Koala	0KoalaHL
02001100	04001100	ANQBanditMeleeM3AOrc	Bandit	M	0TheTruth	0TheTruthHL
02001101	04001101	ANQBanditMeleeM3BRedguard	Bandit	M	0RedRobin	0RedRobinHL
02001102	04001102	ANQBanditMeleeM4ASuthay	Bandit	M	0Victor	0VictorHL
02001103	04001103	ANQBanditMeleeM4BImperial	Bandit	M	0Theo	0TheoHL
02001108	04001108	ANQBanditMissileF2Ohmes	Bandit Bowman	F	0Laurell	0LaurellHL
02001109	04001109	ANQBanditMissileF3AOhmesRaht	Bandit Bowman	F	0Lenore	0LenoreHL
0200110C	0400110C	ANQBanditMissileF3BSuthay	Bandit Bowman	F	0Laurell	0LaurellHL
0200110E	0400110E	ANQBanditMissileF4AOhmes	Bandit Bowman	F	0Leona	0LeonaHL
02001110	04001110	ANQBanditMissileM2Ohmes	Bandit Bowman	M	0RedRobin	0RedRobinHL
02001111	04001111	ANQBanditMissileM3AOhmesRaht	Bandit Bowman	M	0TheTruth	0TheTruthHL
02001114	04001114	ANQBanditMissileM3BSuthay	Bandit Bowman	M	0Victor	0VictorHL
02001117	04001117	ANQBanditMissileM4AOhmes	Bandit Bowman	M	0Victor	0VictorHL
02001E87	04001E87	ANQCORKisimba	Kisimba	M	0Theo	0TheoHL
020028E0	040028E0	ANQALBAyishak	Ayishak	M	0TheTruth	0TheTruthHL
0200B68C	0400B68C	ANQDUNShanar	Shanar	M	0Victor	0VictorHL
0200B68E	0400B68E	ANQDUNSalun	Salun	M	0Victor	0VictorHL
0200E33D	0400E33D	ANQORCJNagasar	J'Nagasar	M	0RedRobin	0RedRobinHL
0200E3D4	0400E3D4	ANQORCMogadraGuush	Moga dra-Guush	F	0Koala	0KoalaHL
0200E3D6	0400E3D6	ANQORCAbgoldroLadug	Abgol dro-Ladug	M	0Theo	0TheoHL
0200F482	0400F482	ANQImperialLegionRiderDarkarn	Imperial Legion Soldier	M	0Victor	0VictorHL
