SOURCE_FORMID	PATCH_FORMID	EDITORID	NAME	SEX	HAIR	HL
01000007	03000007	Player	Bendu Olo	M	0TheTruth	0TheTruthHL
01000882	03000882	TestKKWoman02		F	0Laurell	0LaurellHL
0100089A	0300089A	TestToddMan	Todd's Tester Man	M	0Theo	0TheoHL
01000FC8	03000FC8	Dremora6ValkynazMeleeNOSUMMON	Dremora Valkynaz	M	0Theo	0TheoHL
01000FC9	03000FC9	Dremora6ValkynazMissileNOSUMMON	Dremora Valkynaz	M	0Theo	0TheoHL
01000FCB	03000FCB	Dremora0ChurlMageNOSUMMON	Dremora Churl	M	0Theo	0TheoHL
01000FCC	03000FCC	Dremora0ChurlMeleeNOSUMMON	Dremora Churl	M	0TheTruth	0TheTruthHL
01000FCD	03000FCD	Dremora0ChurlMissileNOSUMMON	Dremora Churl	M	0RedRobin	0RedRobinHL
01000FCE	03000FCE	Dremora1CaitiffMageNOSUMMON	Dremora Caitiff	M	0Victor	0VictorHL
01000FCF	03000FCF	Dremora1CaitiffMeleeNOSUMMON	Dremora Caitiff	M	0RedRobin	0RedRobinHL
01000FD0	03000FD0	Dremora1CaitiffMissileNOSUMMON	Dremora Caitiff	M	0Victor	0VictorHL
01000FD1	03000FD1	Dremora2KynvalMageNOSUMMON	Dremora Kynval	M	0TheTruth	0TheTruthHL
01000FD3	03000FD3	Dremora2KynvalMeleeNOSUMMON	Dremora Kynval	M	0TheTruth	0TheTruthHL
01000FD4	03000FD4	Dremora2KynvalMissileNOSUMMON	Dremora Kynval	M	0Victor	0VictorHL
01000FD5	03000FD5	Dremora3KynreeveMageNOSUMMON	Dremora Kynreeve	M	0Victor	0VictorHL
01000FD6	03000FD6	Dremora3KynreeveMeleeNOSUMMON	Dremora Kynreeve	M	0Victor	0VictorHL
01000FD7	03000FD7	Dremora3KynreeveMissileNOSUMMON	Dremora Kynreeve	M	0Theo	0TheoHL
01000FD8	03000FD8	Dremora4KynmarcherMageNOSUMMON	Dremora Kynmarcher	M	0TheTruth	0TheTruthHL
01000FD9	03000FD9	Dremora4KynmarcherMeleeNOSUMMON	Dremora Kynmarcher	M	0Theo	0TheoHL
01000FDA	03000FDA	Dremora4KynmarcherMissileNOSUMMON	Dremora Kynmarcher	M	0Theo	0TheoHL
01000FDB	03000FDB	Dremora5MarkynazMageNOSUMMON	Dremora Markynaz	M	0Victor	0VictorHL
01000FDC	03000FDC	Dremora5MarkynazMeleeNOSUMMON	Dremora Markynaz	M	0Victor	0VictorHL
01000FDD	03000FDD	Dremora5MarkynazMissileNOSUMMON	Dremora Markynaz	M	0Victor	0VictorHL
01000FDF	03000FDF	Dremora6ValkynazMageNOSUMMON	Dremora Valkynaz	M	0Victor	0VictorHL
01001144	03001144	MQ16ImperialSoldier02	Imperial Legion Soldier	M	0Victor	0VictorHL
