kind	plugin	formid	name	record	category
item	Oblivion.esm	0B1200	Ale	ALCH	drink
item	Oblivion.esm	0B1202	Beer	ALCH	drink
item	Oblivion.esm	08E48C	Bernice's Alley Wine	ALCH	drink
item	Oblivion.esm	08E490	Bernice's Roofwater Wine	ALCH	drink
item	Oblivion.esm	08E48E	Bernice's Summer Wine	ALCH	drink
item	Oblivion.esm	037F7F	Cheap Wine	ALCH	drink
item	Oblivion.esm	033569	Cyrodilic Brandy	ALCH	drink
item	Oblivion.esm	08E48F	Fellmoor Red Wine	ALCH	drink
item	Oblivion.esm	08E48D	Fellmoor Spore Wine	ALCH	drink
item	Oblivion.esm	08E48B	Fellmoor Swamp Wine	ALCH	drink
item	Oblivion.esm	07FC0F	Mead	ALCH	drink
item	Oblivion.esm	0B1201	Mead	ALCH	drink
item	Oblivion.esm	0B1241	Newheim's Special Brew	ALCH	drink
item	Oblivion.esm	0B97EA	Rosethorn Mead	ALCH	drink
item	Oblivion.esm	185DCD	Shadowbanish Wine	ALCH	drink
item	Oblivion.esm	037F84	Surilie Brothers Vintage 399	ALCH	drink
item	Oblivion.esm	037F82	Surilie Brothers Vintage 415	ALCH	drink
item	Oblivion.esm	037F80	Surilie Brothers Wine	ALCH	drink
item	Oblivion.esm	037F7E	Tamika Vintage 399	ALCH	drink
item	Oblivion.esm	037F83	Tamika Vintage 415	ALCH	drink
item	Oblivion.esm	037F81	Tamika's West Weald Wine	ALCH	drink
item	Oblivion.esm	033669	Cheese Wheel	INGR	heavy
item	Oblivion.esm	177A29	S'jirra's Famous Potato Bread	INGR	heavy
item	Oblivion.esm	0B97E9	Shepherd's Pie	INGR	heavy
item	Oblivion.esm	03365C	Alkanet Flower	INGR	ignore
item	Oblivion.esm	01AE7A	Alocasia Fruit	INGR	ignore
item	Oblivion.esm	0A7924	Aloe Vera Leaves	INGR	ignore
item	Oblivion.esm	0704A0	Ambrosia	INGR	ignore
item	Oblivion.esm	03365E	Arrowroot	INGR	ignore
item	Oblivion.esm	081A68	Ashen Remains	INGR	ignore
item	Oblivion.esm	0977DD	Ashes of Hindaril	INGR	ignore
item	Oblivion.esm	01B035	Aster Bloom Core	INGR	ignore
item	Oblivion.esm	0A7933	Bergamot Seeds	INGR	ignore
item	Oblivion.esm	03BABD	Black Tar	INGR	ignore
item	Oblivion.esm	043430	Blind Watcher's Eye	INGR	ignore
item	Oblivion.esm	04340E	Blind Watcher's Eye	INGR	ignore
item	Oblivion.esm	01F3AA	Blister Pod Cap	INGR	ignore
item	Oblivion.esm	033664	Bloodgrass	INGR	ignore
item	Oblivion.esm	08446C	Bog Beacon Asco Cap	INGR	ignore
item	Oblivion.esm	044E61	Bone Marrow	INGR	ignore
item	Oblivion.esm	052443	Bone Shard	INGR	ignore
item	Oblivion.esm	048734	Bonemeal	INGR	ignore
item	Oblivion.esm	01EBFF	Bonemeal	INGR	ignore
item	Oblivion.esm	06251E	Cairn Bolete Cap	INGR	ignore
item	Oblivion.esm	08529C	Cinnabar Polypore Red Cap	INGR	ignore
item	Oblivion.esm	08529B	Cinnabar Polypore Yellow Cap	INGR	ignore
item	Oblivion.esm	03366A	Clannfear Claws	INGR	ignore
item	Oblivion.esm	084472	Clouded Funnel Cap	INGR	ignore
item	Oblivion.esm	0A7925	Columbine Root Pulp	INGR	ignore
item	Oblivion.esm	0402E9	Congealed Putrescence	INGR	ignore
item	Oblivion.esm	01EC8F	Daedra Heart	INGR	ignore
item	Oblivion.esm	033670	Daedra Silk	INGR	ignore
item	Oblivion.esm	033671	Daedra Venin	INGR	ignore
item	Oblivion.esm	033672	Daedroth Teeth	INGR	ignore
item	Oblivion.esm	043432	Deformed Swamp Tentacle	INGR	ignore
item	Oblivion.esm	043410	Deformed Swamp Tentacle	INGR	ignore
item	Oblivion.esm	071FC8	Dog Food	INGR	ignore
item	Oblivion.esm	025039	Dragon's Tongue	INGR	ignore
item	Oblivion.esm	033673	Dreugh Wax	INGR	ignore
item	Oblivion.esm	08529D	Dryad Saddle Polypore Cap	INGR	ignore
item	Oblivion.esm	01EBFE	Ectoplasm	INGR	ignore
item	Oblivion.esm	08529E	Elf Cup Cap	INGR	ignore
item	Oblivion.esm	044E5D	Elytra Ichor	INGR	ignore
item	Oblivion.esm	08529F	Emetic Russula Cap	INGR	ignore
item	Oblivion.esm	013186	Felldew	INGR	ignore
item	Oblivion.esm	0A7926	Fennel Seeds	INGR	ignore
item	Oblivion.esm	033675	Fire Salts	INGR	ignore
item	Oblivion.esm	097613	Flame Stalk	INGR	ignore
item	Oblivion.esm	01B6AE	Flame Stalk	INGR	ignore
item	Oblivion.esm	0A7927	Flax Seeds	INGR	ignore
item	Oblivion.esm	084471	Fly Amanita Cap	INGR	ignore
item	Oblivion.esm	033687	Foxglove Nectar	INGR	ignore
item	Oblivion.esm	022E5B	Frost Salts	INGR	ignore
item	Oblivion.esm	019529	Fungus Stalk	INGR	ignore
item	Oblivion.esm	033678	Ginkgo Leaf	INGR	ignore
item	Oblivion.esm	033679	Ginseng	INGR	ignore
item	Oblivion.esm	01EBE8	Glow Dust	INGR	ignore
item	Oblivion.esm	044E5E	Gnarl Bark	INGR	ignore
item	Oblivion.esm	08446A	Green Stain Cup Cap	INGR	ignore
item	Oblivion.esm	08529A	Green Stain Shelf Cap	INGR	ignore
item	Oblivion.esm	05589A	Greenmote	INGR	ignore
item	Oblivion.esm	03367D	Harrada	INGR	ignore
item	Oblivion.esm	04A863	Heart of Order	INGR	ignore
