SOURCE_FORMID	PATCH_FORMID	EDITORID	NAME	LIST	OUTFIT
020010FA	040010FA	ANQBanditMeleeF2SuthayRaht	Bandit	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
020010FB	040010FB	ANQBanditMeleeF3AOrc	Bandit	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
020010FC	040010FC	ANQBanditMeleeF3BRedguard	Bandit	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
020010FD	040010FD	ANQBanditMeleeF4ASuthayRaht	Bandit	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
020010FE	040010FE	ANQBanditMeleeF4BImperial	Bandit	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
02001108	04001108	ANQBanditMissileF2Ohmes	Bandit Bowman	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
02001109	04001109	ANQBanditMissileF3AOhmesRaht	Bandit Bowman	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
0200110C	0400110C	ANQBanditMissileF3BSuthay	Bandit Bowman	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
0200110E	0400110E	ANQBanditMissileF4AOhmes	Bandit Bowman	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
02001FA7	04001FA7	ANQCORYajira	Yajira	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
0200E3D4	0400E3D4	ANQORCMogadraGuush	Moga dra-Guush	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
0200FCF1	0400FCF1	ANQCORCorintheGuardPostDay02	Corinthe Guard	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
0200FCF4	0400FCF4	ANQCORCorintheGuardPostNight02	Corinthe Guard	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
0200FCF5	0400FCF5	ANQCORCorintheGuardPostNight03	Corinthe Guard	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
020105EC	040105EC	ANQDUNDuneGuardPostDay02	Dune Guard	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
020105EF	040105EF	ANQDUNDuneGuardPostNight03	Dune Guard	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
02011618	04011618	ANQORCRogda	Rogda the Witch	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
0201162C	0401162C	ANQORCEloineBrigette	Eloine Brigette	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
0201162F	0401162F	ANQORCVaenenDres	Vaenen Dres	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
02011635	04011635	ANQORCBugdala	Bugdala	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
02011638	04011638	ANQORCDornagraMorok	Dorna gra-Morok	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
0201163D	0401163D	ANQTRBAzkhanTribeswoman01	Azkhan Tribeswoman	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
0201163F	0401163F	ANQTRBAzkhanTribeswoman02	Azkhan Tribeswoman	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
02011642	04011642	ANQORCNirasja	Nirasja	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
02011645	04011645	ANQTRBAzkhanTribeswoman03	Azkhan Tribeswoman	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
02011653	04011653	ANQORCSlave01	Khajiit Slavegirl	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
02011658	04011658	ANQORCSlave03	Khajiit Slavegirl	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
0201165E	0401165E	ANQORCSlave05	Khajiit Slavegirl	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
020120C5	040120C5	ANQKNGHilde	Hilde the Fair	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
020121D7	040121D7	ANQDUNMgada	Mgada the Wise	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
02012A11	04012A11	ANQKNGLyraNorbanus	Lyra Norbanus	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
02012A1E	04012A1E	ANQKNGShabkagraDulfum	Shabka gra-Dulfum	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
02014687	04014687	ANQRHKjaana	K'jaana	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
02014693	04014693	ANQRHTaneena	Taneena	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
02014D7B	04014D7B	ANQRHYgraska	Y'graska	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
02014F51	04014F51	ANQSQ05ValenwoodArcher02	Valenwood Soldier	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
02015399	04015399	ANQRHCelithia	Celithia	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
02015A9E	04015A9E	ANQRHCorneliaDio	Cornelia Dio	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
02015B8C	04015B8C	ANQCORAshisha	Ashisha	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
02015CEE	04015CEE	ANQCOROntWazei	Ont-Wazei	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
02015DF0	04015DF0	ANQRenrijraKrinRunner01	Renrijra Krin Runner	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
02015DF2	04015DF2	ANQDNCMuraggraLazgarn	Murag gra-Lazgarn	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
02015DF9	04015DF9	ANQRenrijraKrinRunner04	Renrijra Krin Runner	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
02015DFB	04015DFB	ANQRenrijraKrinRunner05	Renrijra Krin Runner	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
02015ECB	04015ECB	ANQCORJinsiraga	Jinsiraga	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
02017D08	04017D08	ANQALBLamsara	Lamsara	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
02017D12	04017D12	ANQALBHaerdica	Haerdica	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
02019583	04019583	ANQCORFloressaDeMoer	Floressa de Moer	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
02019678	04019678	ANQDNCNisaba	Nisaba	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
0201A186	0401A186	ANQCORGhostTsanja	Ghost of Tsanja	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
0201ADA1	0401ADA1	ANQBRKLibiaBeltaire	Libia Beltaire	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
0201C004	0401C004	ANQORCLaphkaGraLag	Laphka gra-Lag	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
0201C005	0401C005	ANQORCNamaSan	Nama San	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
0201C022	0401C022	ANQORCAlicyaWhitelock	Alicya Whitelock	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
0201EDBF	0401EDBF	ANQRHJoRasma	Jo'Rasma	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
0201F87F	0401F87F	ANQRHRiverholdGuardPostDay03	Riverhold Guard	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
0201F880	0401F880	ANQRHRiverholdGuardPostNight03	Riverhold Guard	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
02020370	04020370	ANQCORJaRisha	Ja'Risha	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
02020DEB	04020DEB	ANQRHRiverholdGuardPatrolDay02	Riverhold Guard	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
02020DEC	04020DEC	ANQRHRiverholdGuardPatrolNight02	Riverhold Guard	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
02021389	04021389	ANQDNCMansaba	Mansaba	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
0202138B	0402138B	ANQCORUbalama	Ubalama	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
020214DE	040214DE	ANQRHRiverholdGuardPatrolDay03	Riverhold Guard	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
020214DF	040214DF	ANQRHRiverholdGuardPatrolNight03	Riverhold Guard	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
020218FE	040218FE	ANQCORCaecaRatTongue	Caeca Rat-Tongue	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
0202219D	0402219D	ANQCORAzhaba	Azhaba	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
0202219F	0402219F	ANQCORNarinaPortius	Narina Portius	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
