SOURCE_FORMID	PATCH_FORMID	EDITORID	NAME	LIST	OUTFIT
01000882	03000882	TestKKWoman02		OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_01
01002E94	03002E94	Thiirchel	Thiirchel	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_03
01002E99	03002E99	Githriian	Githriian	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_03
01002E9A	03002E9A	Idrolian	Idrolian	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_07
01002E9B	03002E9B	Dennilwen	Dennilwen	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_07
01003435	03003435	ElanteofAlinor	Elante of Alinor	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_01
010034C0	030034C0	DerveraRomalen	Dervera Romalen	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_07
010034C2	030034C2	MarianaAncharia	Mariana Ancharia	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_01
010034C3	030034C3	Shelley	Shelley	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_04
010034C4	030034C4	BorbagraUzgash	Borba gra-Uzgash	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_03
010034C5	030034C5	TertiaViducia	Tertia Viducia	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_07
010034C7	030034C7	Ohtesse	Ohtesse	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_03
010034C9	030034C9	GruiandGarrana	Gruiand Garrana	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_01
010034CB	030034CB	NaspiaCosma	Naspia Cosma	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_07
010034CD	030034CD	UleneHlervu	Ulene Hlervu	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_06
010034D3	030034D3	TivelaLythandas	Tivela Lythandas	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_06
010034D7	030034D7	TolisiGirith	Tolisi Girith	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_05
010034D8	030034D8	TanasaArano	Tanasa Arano	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_02
010034D9	030034D9	RogmeshgraCoblug	Rogmesh gra-Coblug	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_07
010034DB	030034DB	Ganredhel	Ganredhel	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_03
010034DC	030034DC	OghashgraMagul	Oghash gra-Magul	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_07
010034DF	030034DF	LlevanaNedaren	Llevana Nedaren	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_08
010038B3	030038B3	MarietteRielle	Mariette Rielle	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_03
010038B5	030038B5	CamillaLollia	Camilla Lollia	BRUMA_OUTFITS_TO_CHOOSE	00SI_Bruma_OutfitBase_02
01005564	03005564	VeyondArgFemale2Blademaster	Argonian Tribesman	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_02
01005565	03005565	VeyondArgFemale3Assassin	Argonian Tribesman	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_03
01005566	03005566	VeyondArgFemale3Monk	Argonian Tribesman	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_05
01005567	03005567	VeyondArgFemale4Nightblade	Argonian Tribesman	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_05
01005568	03005568	VeyondArgFemale4Scout	Argonian Tribesman	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_04
0100556B	0300556B	VeyondArgShamanFemale4A	Argonian Shaman	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_08
0100556C	0300556C	VeyondArgShamanFemale3A	Argonian Shaman	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_07
0100556F	0300556F	VeyondArgBossFemale1	Argonian Chieftain	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_05
01005570	03005570	VeyondArgBossFemale2	Argonian Chieftain	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_04
010091F5	030091F5	BieneAmelion	Biene Amelion	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_01
0100922B	0300922B	TheNightMother	The Night Mother	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_07
010092A8	030092A8	TG03ChapelUnderCroftGuard	Chapel Guard	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_02
01009ABE	03009ABE	TESTBandit	Bandit Ringleader	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_04
01009AC1	03009AC1	TESTNecromancer	Necromancer Adept	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_06
01009AD3	03009AD3	TESTBandit14	Bandit Ringleader	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_07
01009AD5	03009AD5	TESTBandit7	Bandit Ringleader	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_02
01009AD6	03009AD6	TESTBandit21	Bandit Ringleader	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_01
01009ADD	03009ADD	TESTNecromancer7	Necromancer Adept	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_02
01009ADE	03009ADE	TESTNecromancer14	Necromancer Adept	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_08
01009ADF	03009ADF	TESTNecromancer21	Necromancer Adept	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_08
01009C39	03009C39	Ashanta	Ashanta	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_02
0100A083	0300A083	Ranaline	Ranaline	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_07
0100A087	0300A087	Nilawen	Nilawen	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_08
0100A08A	0300A08A	UravasaOthrelas	Uravasa Othrelas	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_08
0100A08B	0300A08B	Marz	Marz	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_07
0100A08C	0300A08C	ChanaMona	Chana Mona	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_03
0100A08D	0300A08D	OlavatheFair	Olava the Fair	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_07
0100A08F	0300A08F	DroNahrah	Dro'Nahrahe	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_03
0100A095	0300A095	Nahsi	Nahsi	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_05
0100A096	0300A096	TadroseHelas	Tadrose Helas	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_07
0100A099	0300A099	SelenaOraniaDead	Selena Orania	BRUMA_OUTFITS_TO_CHOOSE	00SI_Bruma_OutfitBase_01
0100A109	0300A109	CitySwimmer	City-Swimmer	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_01
0100A10A	0300A10A	LucianaGalena	Luciana Galena	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_03
0100A10B	0300A10B	Andragil	Andragil	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_06
0100A10F	0300A10F	RoxanneBrigette	Roxanne Brigette	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_06
0100A111	0300A111	UrsanneLoche	Ursanne Loche	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_05
0100A25C	0300A25C	VieraLerus	Viera Lerus	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_07
0100A285	0300A285	Trevaia	Trevaia	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_05
0100A286	0300A286	Laralthir	Laralthir	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_03
0100A287	0300A287	DumaniaJirich	Dumania Jirich	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_01
0100A288	0300A288	MillonaUmbranox	Countess Millona Umbranox	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_08
