SOURCE_FORMID	PATCH_FORMID	EDITORID	NAME	RACE	SEX	TINI	TINC	TINV	QNAM_WAS	QNAM_NOW	MAX_DELTA_255
020166C9	040166C9	ANQSQ09MadukLairBandit02	Bandit	ArgonianRace	M	38	101,56,33	80	106,70,51	106,70,51	0
020105EE	040105EE	ANQDUNDuneGuardPostDay03	Dune Guard	KhajiitRace	M	1	189,124,58	80	176,124,71	176,124,71	0
02049FC8	04049FC8	ANQCORCorinthePalaceGuardPostDay04	Corinthe Palace Guard	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
02049FCA	04049FCA	ANQCORHuleeya	Huleeya	ArgonianRace	M	38	101,56,33	80	106,70,51	106,70,51	0
0204A854	0404A854	ANQCORJobasha	Jobasha	KhajiitRace	M	1	189,124,58	80	176,124,71	176,124,71	0
020105EF	040105EF	ANQDUNDuneGuardPostNight03	Dune Guard	KhajiitRace	F	4	184,131,76	80	172,130,86	172,130,86	0
0204A859	0404A859	ANQCORImperialLegionSoldier01	Imperial Legion Soldier	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
0204A85B	0404A85B	ANQCORImperialLegionSoldier02	Imperial Legion Soldier	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
0204B09C	0404B09C	ANQCORPsharZdastari	P'shar Z'dastari	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
0204B1C6	0404B1C6	ANQBRKDeadSquishy	Dead Squishy	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
02017481	04017481	ANQTRBRenrijraKrinAgent01	Renrijra Krin Agent	KhajiitRace	M	1	189,124,58	80	176,124,71	176,124,71	0
0201F509	0401F509	ANQRHJoFaraq	Jo'Faraq	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
0204BA69	0404BA69	ANQBRKDeadTickles	Tickles	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
0201F877	0401F877	ANQRHRiverholdGuardPostDay02	Riverhold Guard	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
