SOURCE_FORMID	PATCH_FORMID	EDITORID	NAME	RACE	SEX	TINI	TINC	TINV	QNAM_WAS	QNAM_NOW	MAX_DELTA_255
01096765	03096765	SEKnightOfOrderPatrol1	Knight of Order	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
01095243	03095243	SE09KnightOfOrder	Knight of Order	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
01094B5B	03094B5B	SEKnightOfOrder5Obelisk	Knight of Order	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
01094B25	03094B25	SEKnightOfOrder4Obelisk	Knight of Order	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
01094AC9	03094AC9	SEKnightOfOrder3Obelisk	Knight of Order	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
01094A38	03094A38	SEKnightOfOrder2Obelisk	Knight of Order	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
01094A28	03094A28	SEKnightOfOrder1Obelisk	Knight of Order	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
01092A88	03092A88	SEPrisoner4Syl	Prisoner	BretonRace	M	2	225,161,115	80	205,154,117	205,154,117	0
01092A81	03092A81	SEPrisoner2Syl	Prisoner	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
01092A77	03092A77	SEPrisoner1Syl	Prisoner	RedguardRace	M	1	119,56,30	80	120,70,49	120,70,49	0
0108F4F3	0308F4F3	SE07EndSaint02	Golden Saint	HighElfRace	F	24	168,115,47	80	159,117,63	159,117,63	0
0108F4F2	0308F4F2	SE07EndSaint01	Golden Saint	HighElfRace	F	24	168,115,47	80	159,117,63	159,117,63	0
0108F4F1	0308F4F1	SE07EndSeducer02	Dark Seducer	DarkElfRace	F	24	81,77,86	80	90,87,94	90,87,94	0
0108F4F0	0308F4F0	SE07EndSeducer01	Dark Seducer	DarkElfRace	F	24	81,77,86	80	90,87,94	90,87,94	0
0108F114	0308F114	SE10OrderPriestNoRez	Priest of Order	HighElfRace	M	1	213,180,78	80	195,169,87	195,169,87	0
0108EF81	0308EF81	SE04FelldewAddict03	Joofy the Brown	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
0108EF7E	0308EF7E	SE04FelldewAddict02	Felldew Addict	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
0108EF7C	0308EF7C	SE04FelldewAddict01	Felldew Addict	HighElfRace	F	24	208,176,73	80	191,166,83	191,166,83	0
